date,tc,pres,mois_de_l_annee
2022-01-12T04:00:00+01:00,1.2000000000000455,101330,1
2022-01-20T22:00:00+01:00,3.1000000000000227,101210,1
2022-01-18T10:00:00+01:00,-0.39999999999997726,101510,1
2022-01-01T16:00:00+01:00,16.200000000000045,100770,1
2022-01-15T13:00:00+01:00,7.800000000000011,100940,1
2022-12-31T13:00:00+01:00,15,100260,12
2022-12-27T16:00:00+01:00,12.700000000000045,101130,12
2022-12-28T22:00:00+01:00,8.700000000000045,100270,12
2022-11-16T10:00:00+01:00,13.200000000000045,99030,11
2022-12-22T01:00:00+01:00,11.100000000000023,100430,12
2022-12-17T04:00:00+01:00,4.2000000000000455,99900,12
2022-05-13T17:00:00+02:00,24.30000000000001,100290,5
2022-05-17T08:00:00+02:00,18.700000000000045,100110,5
2022-11-28T22:00:00+01:00,9,100220,11
2022-05-25T17:00:00+02:00,20.100000000000023,100880,5
2022-11-27T16:00:00+01:00,11.800000000000011,100130,11
2022-11-28T01:00:00+01:00,9.800000000000011,99990,11
2022-05-28T17:00:00+02:00,26.600000000000023,99660,5
2022-06-12T11:00:00+02:00,24.700000000000045,100570,6
2022-06-23T08:00:00+02:00,19.30000000000001,99320,6
2022-06-25T14:00:00+02:00,25.200000000000045,99350,6
2022-06-27T17:00:00+02:00,17,100380,6
2022-06-27T14:00:00+02:00,16.200000000000045,100370,6
2022-06-30T11:00:00+02:00,16.100000000000023,99860,6
2022-06-26T02:00:00+02:00,16.5,99690,6
2022-06-29T14:00:00+02:00,27,99700,6
2022-04-23T05:00:00+02:00,11.700000000000045,97570,4
2022-11-24T04:00:00+01:00,6.100000000000023,100050,11
2022-04-25T05:00:00+02:00,7.100000000000023,99600,4
2022-06-01T23:00:00+02:00,21.700000000000045,99480,6
2022-06-10T08:00:00+02:00,15.200000000000045,100590,6
2022-12-23T16:00:00+01:00,18.200000000000045,100110,12
2022-08-11T02:00:00+02:00,25.100000000000023,99670,8
2022-08-17T23:00:00+02:00,21.5,99710,8
2022-08-15T02:00:00+02:00,22.400000000000034,99400,8
2022-08-19T02:00:00+02:00,18.200000000000045,100290,8
2022-07-18T11:00:00+02:00,33.30000000000001,99950,7
2022-07-19T02:00:00+02:00,26.100000000000023,99640,7
2022-07-20T17:00:00+02:00,29.100000000000023,100380,7
2022-06-23T17:00:00+02:00,27.5,99310,6
2022-08-23T17:00:00+02:00,29.80000000000001,99710,8
2022-07-27T02:00:00+02:00,19.5,100090,7
2022-06-15T05:00:00+02:00,22.100000000000023,99680,6
2022-06-24T05:00:00+02:00,16.700000000000045,99590,6
2022-06-11T20:00:00+02:00,31,100250,6
2022-06-29T20:00:00+02:00,27.30000000000001,99480,6
2022-06-05T08:00:00+02:00,17.30000000000001,100210,6
2022-07-05T20:00:00+02:00,29,100280,7
2022-07-08T02:00:00+02:00,21.200000000000045,100890,7
2022-07-08T20:00:00+02:00,29.30000000000001,100630,7
2022-08-06T20:00:00+02:00,32.200000000000045,99850,8
2022-07-10T20:00:00+02:00,33,99810,7
2022-08-06T02:00:00+02:00,23.30000000000001,100150,8
2022-07-16T02:00:00+02:00,24.900000000000034,99960,7
2022-07-15T02:00:00+02:00,24.100000000000023,100060,7
2022-07-20T11:00:00+02:00,23.30000000000001,100520,7
2022-08-21T11:00:00+02:00,25.900000000000034,100060,8
2022-06-20T17:00:00+02:00,30.700000000000045,99250,6
2022-07-16T08:00:00+02:00,21.30000000000001,99910,7
2022-11-05T10:00:00+01:00,11.5,100640,11
2022-05-16T14:00:00+02:00,27.400000000000034,100160,5
2022-05-17T20:00:00+02:00,29.900000000000034,99920,5
2022-05-27T11:00:00+02:00,19.900000000000034,100760,5
2022-04-07T05:00:00+02:00,9.600000000000023,99680,4
2022-04-16T02:00:00+02:00,15,100490,4
2022-05-02T17:00:00+02:00,18,99620,5
2022-05-10T20:00:00+02:00,26.900000000000034,100110,5
2022-12-13T22:00:00+01:00,9.300000000000011,98240,12
